"Notes from 21 South Street: KaylaTV","[19, 24]","11","","<p style=""text-align:left;""><em>On Monday, March 11, Kayla Escobedo held a solo show of her own work</em>, KaylaTV<em>, at </em>The Harvard Monday Gallery. <em>The show was curated by Escobedo alongside Danny Bredar. </em>Notes from 21 South Street<em> is pleased and proud to present a record of this event with thoughts from the artist. </em>The Harvard Monday Gallery<em> is Harvard University’s first and only student-run gallery space, founded in 2012.</em></p>{{91 aligncenter}}{{86 aligncenter}}<p><b></b><b>How was <i>KaylaTV </i>conceived? </b></p><p>The video work is a part of my VES thesis, and the timing was really perfect because <i>The Harvard Monday Gallery</i> was looking to put on more experimental, focused exhibitions, and I really needed a place to experiment with my video work and see how it worked as projections.</p>{{127 aligncenter}}{{169 aligncenter}}<p><span id=""more-846""></span></p><p><b>As a body of work, what kind of problems are being addressed? </b></p><p>The refractions and reflections that occur with the projections work on many different levels. In terms of the overarching themes within the <i>KaylaTV</i> project (which actually extends into the realms of drawing, painting, and photography), the refractions are in dialogue with the multiple iterations of this characterization of the self, <i>Kayla. </i>The different lenses through which you can view this work, including the changes in scale, color saturation, and the disjointing that occurs through projections on objects (such as the projection on the chair), are, for me, a part of the project’s handling of the complex relationship one has with oneself. And on another level, I think that the refractions and reflections and the relationships that are ignited as a result of projections occurring across from each other work in purely a visual and aesthetic sense.</p>{{190 aligncenter}}{{184 aligncenter}}{{42 aligncenter}}<p><b>What was it like to curate your work?</b></p><p>It was really enjoyable. The great thing about these video GIFs is that there’s an almost limitless number of ways to arrange and display them. We had a whole world of possibilities to work with, and through hours and hours of experimenting and playing around with the space and materials, we achieved a very interesting investigation of the work. I was delighted to see so many of the visitors interacting with the work in unexpected ways. I think that was a really successful aspect of the show.</p>{{73 aligncenter}}{{38 aligncenter}}{{18 aligncenter}}<p><b>What freedoms/limitations did you encounter/discover?</b></p><div>
<p>Well, the previous question addressed much of the freedom I felt while undertaking the project. And sure, there were a few limitations with regard to the size of the space, the time we were allotted to prepare, the technology, the lighting, and the amount of hands on deck, but curating the show became more about working with those limitations and discovering what came out of them, and I’m tremendously happy with what did come out of it. For this show especially, I wasn’t interested in just taking videos and projecting them. As I began to install the work, I really started to investigate the space, and I wanted to make things more integrated, meaningful, and intentional with respect to the time, place, and materials, and I feel like everything came together with this show. In the beginning, I just saw this space as the only place available to experiment with, but as it started to take form, the space began to be very important to the work, and I’m very glad that ended up happening.</p>
</div><p>Well, the previous question addressed much of the freedom I felt while undertaking the project. And sure, there were a few limitations with regard to the size of the space, the time we were allotted to prepare, the technology, the lighting, and the amount of hands on deck, but curating the show became more about working with those limitations and discovering what came out of them, and I’m tremendously happy with what did come out of it. For this show especially, I wasn’t interested in just taking videos and projecting them. As I began to install the work, I really started to investigate the space, and I wanted to make things more integrated, meaningful, and intentional with respect to the time, place, and materials, and I feel like everything came together with this show. In the beginning, I just saw this space as the only place available to experiment with, but as it started to take form, the space began to be very important to the work, and I’m very glad that ended up happening.</p>{{144 aligncenter}}<div></div><div></div><div></div>{{16 aligncenter}}","2013-4-12","[603, 228, 603, 409, 75, 378, 107, 92, 580]"
"Brood","[19]","11","Oliver Luo '13","<p><em>The Harvard Advocate’s winter issue, </em>Origin<em>, has officially been launched. Now,</em> <em>Notes from 21 South Street is thrilled to bring you the entirety of “Brood” by Oliver Luo ’13. Stills from this multimedia piece are printed in </em>Origin<em>; subscribe at <a href=""http://www.theharvardadvocate.com/content/subscribe-0"" target=""_blank"">www.theharvardadvocate.com</a>.</em><em><br/>
</em></p><div class=""embed-vimeo"" style=""text-align:center;""><iframe allowfullscreen="""" frameborder=""0"" height=""300"" mozallowfullscreen="""" src=""http://player.vimeo.com/video/42839319"" webkitallowfullscreen="""" width=""400""></iframe></div>","2013-3-3","[603, 596, 184, 709, 409, 95, 124, 31, 86, 639]"
"Dorothea Lasky: Poetry & the Metaphysical “I”","[24]","11","Zoë Hitzig ’15","{{65 }}<p>“Now I’m in the limelight ‘cause I rhyme tight / Time to get paid blow up like the World Trade,” raps the Notorious B.I.G. on hit track “Juicy” from his debut album <i>Ready to Die. </i>On October 10, poet and scholar Dorothea Lasky traced the pervasive braggadocio of hip hop — epitomized by Biggie Smalls — back to the great poets of the U.S. and Ancient Rome, touching on Catullus, Sylvia Plath, Kanye West, Bernadette Mayer, Horace and Nikki Minaj, among other wordsmiths, along the way. Lasky’s lecture, “Poetry and the Metaphysical ‘I’”, focused on the transcendent speaker that can shed identity and slip into any outfit. Lasky argued that boastfulness is ultimately selflessness, empowering the speaker in order to empower the reader; the speaker becomes universal in order to give the reader greater selfhood. Lasky delivered the lecture as part of the inaugural season of the Bagley Wright Lecture Series on Poetry in the Emerson Chapel, where in a commencement address to the class of 1838, Ralph Waldo Emerson urged graduating students to seek a new “teacher … that shall see the world to be a mirror of the soul.”  Lasky’s metaphysical “I” becomes the world that mirrors the reader’s soul, that inspires grit within it vis-à-vis Biggie’s swagger, which becomes generous in “Juicy”’s refrain: “You know very well who you are / Don’t let ‘em hold you down, reach for the stars.”</p><p><span id=""more-1218""></span></p>{{106 }}<p><em>Dorothea Lasky is the author of Thunderbird (2012), Black Life (2010), and AWE (2007), published by WAVE Books. She co-edited Open the Door: How to Excite Young People About Poetry (McSweeney’s, 2013). She is an Assistant Professor of Poetry at Columbia University’s School of the Arts. Lasky’s lecture is part of the Bagley Wright Lecture Series on Poetry, “Discursives,” established to offer poets the opportunity to speak on subjects within and beyond the bounds of poetry. </em></p>","2013-10-26","[228, 212, 432, 259, 216, 514, 532]"
"Harbor: Boathouse Row","[12]","4","Victoria Baena ’14","{{12 size-full}}<p>There was once a time, in high school, when I thought I might be an athlete. Cleaning out the attic the Christmas Break of my freshman year, I came  across a faded, musty photo of my great-uncle’s rowing team. They were all tall and toned and stared grimly at the camera, gripping their oars, their faces determinedly blank and pupil-less. The introductory meeting for my high school’s novice crew team was held at the boathouse down on Kelly Drive: dozens of similar photos cluttered the walls, sepia against wall-paneled oak. There is a quiet exclusivity to a sport that needs a river: I felt its tug of history and decided to enroll.</p><p>The Schuylkill was our playing field, bordered by the Victorian gables of Boathouse Row that lit up at night like gingerbread houses. Our dock was the second-to-last and closest to the waterfall dam; a line of ropes stretched out just in front to cling onto if we drifted too close. It wasn’t a real harbor—the Schuylkill curved into the Delaware, which turned south before the Atlantic—but it was the point of departure and the place of return for our creaky but sturdy eight.</p><p><span id=""more-774""></span></p><p>When we began morning practices there were days we had to shovel snow off the dock in the dark before we could take out the boat. The fog clung to the water and left dew on our knuckles. As the days became longer, the sun raced us awake, tugging the mist up from the surface. The deep regular beats of each stroke modulated those mornings. No one spoke for the first hour of practice—I kept my eyes on the inward curve of my knees and the swinging braid of the girl in front.</p><p>My hands broke open, bled, and calloused. I was embarrassed  to shake hands. Some days we never made it to the river: we were sent to the steps of the Art Museum to run up and down until we were told to stop. The first few rounds we talked and acted out Rocky; by the end some of us were in tears. I have never been as hungry as I was that semester. As we waited for the bus to take us home we would dig into our backpacks for change, exchanging grubby dimes for soft pretzels from the roadside stand, fifty cents each. Nothing was more perfect than their delicate browned crust, the salt  nestled into the bread like craters.</p><p>Our coach, Steve, was a house painter. He wore overalls to practice and never joined us during runs. The mentality was reliably us against him. All the time and callouses bound us closer together; we began to speak in the first person plural. The river’s seamy legends seeped under our skin and into our origin myth. There was the eight-boat five years before, just out of our memory’s reach, which had dredged up a dead body with their oars. There were the two boys’ team members who had been horsing around until one fell in off the dock, contracted a parasite, and was hospitalized for a month. The stories breathed consequence into our small victories and defeats.</p><p>My parents came to the regattas and mingled under the tents; my dad started to talk about college and recruiting. He didn’t know, and I didn’t yet tell him, that I was already feeling the nostalgia of an ending. By the next year I would throw out my uniform, revert to classes, clubs, and recitals replacing all those hours. If anyone asked if I was athletic I would laugh and shake my head.</p><p>But that year I was trying out lifestyles on the sketchbook of the Schuylkill. I was part of a team whose alignment had to be perfect for us to move at all.  I was six-seat in a boat on a Philadelphia river as cars raced up the highway on both its sides and over its bridges; no matter how fast we went we’d never catch up. They’d be home by now and we’d still be on the river, yanking, tugging, rowing up and down, not really getting anywhere and with nowhere we really had to go.</p>","2013-3-11","[468, 300, 441, 409, 60, 513, 190, 678, 36, 64]"
"The Lyric Essay: Glass","[14]","11","Stephanie Newman \’13","{{102 alignnone}}<p><em>The following lyric essay is an excerpt from a senior thesis in poetry by</em><em> Advocate publisher and poetry board member <a href=""http://www.stephanienewman.net"" target=""_blank"">Stephanie Newman</a> ’13.</em></p><p>I am walking back to my apartment. We are in Budapest. I come upon a man. He is sitting behind many rows of gleaming tall-stemmed crystal glasses. So many different heights. A garden. With his moistened fingertips, from glassrim to rim, he chimes his song. His melody attracts a crowd. Mostly foreigners who were sleeping the night away at hotels on the Danube embankment. Men and women, of uncertain age, dressed in evening clothes, looking at each other and smiling. The man behind the song? He plays his song so casually, evasively, as though no crowd were watching, or rather, perhaps, as though his nonchalance deflects attention. What he is making isn’t quite beautiful—too sprite, too high-pitched—but his offering is sent out into this night with an easy flourish.</p><p>My thought about him gives way to a fascination with the material he so effortlessly maneuvers. No mechanisms of hammers and coils, no curiously curved brass; only the transparent process of physics, only touch turning to sound. What is so oddly breakable about the scene? Imagine the explosion of sound that would erupt from the glasses were the table upturned. The light in each glass would unravel. The onlookers would disperse. The man would drop his heavy hands and search for the fleeting silences in the ruptured song.</p><p><span id=""more-154""></span></p><p>Earlier in the week I visited an abandoned glass factory whose fragments were immersed in silence. The garage door guarding the site faded into the run-down streetscape of Vadász utca. When I rapped on the window, an old man came to meet me in the courtyard. His teeth dirty, his hands wrinkled. I asked him if I had arrived at the Glass House. He squinted, he nodded. He unlocked the memorial room and left me alone to read about the site whose dilapidation eclipsed its fame.</p><p>Seventy-five years ago, the factory molted glass into thousands of sheets. They became the windows of the north’s industrial buildings. Then, having grown gargantuan in size, the Second World War arrived in Budapest and suffocated the factory with its chokehold, paralyzing commerce, barring the factory’s Jewish owner. Carl Lutz, Swiss diplomat, took the glass factory for headquarters—we can still see it, how from the seat of his desk, the strange benevolence blossomed. The diplomat issued thousands of international passports to rescue the Hungarian Jews. Beside circular stamps of Swiss validation, in typeface on discolored paper, the words “Gültig für Aufenthalt” gleamed. When papers were not enough, the Swiss diplomat stowed 2,000 Jewish refugees on factory grounds. Packed into chambers in the factory’s brick basement, the silent brigade of men, women, and children slept, woke, urinated, hungered, shivered, and survived.</p><p>I climb down to the cellar, where the only source of light is a window as long as a ruler. The whole space black save for the sun spearing in through the fingerswidth glass rectangle. How grateful we must have been for that patch of glass… Or perhaps it was frightening, this fragile spot where shelter’s teeming meets an outer world, brute with harsh light, sound. One bullet would have shattered glass, cut through a dozen bodies.</p>{{28}}<p>Back outside, a robin-blue glass awning has been shattered in its frame above ground. I look through the windows of the building. I see three metal ladders, white buckets with brown stains, wires running along the ceiling. The reflections on the glass walls bend over each other: images of pipes and chains touch images of trees. I too entrust my form to the transparent walls of the facility. There I am, my image outlined onto the glass doorway, trapped inside this montage of ruin, construction, misgrowth, trees. Why do I feel generous for donating my shape to this massacre of abandonment, for enlivening the decay with my barely detectable human touch?</p><p>Weeks later, in Berlin, I am led to a monstrous cement building with uniform rows of windows. This had once been a school for girls. When the war comes, the Jewish children are marched to houses of prostitution where they spend their days servicing the battalions. I want to leave. I turn. I catch the brisk pivot of my reflection in the blackened window. My features and mannerisms are lent to this ghost-like being, some young girl with long dark hair, walking, in a delicate bending of time, to the brothel in which she will see out her fate. The encounter is no less a transaction, this one between my body and glass, glass always proving the stronger, taking my image from me, distorting its existence. Who is this unfamiliar figure I am now in its grasp?</p><p>Glass: the power to show me: the power to give me my own form: to take it back: to sketch me into circumstances that never bid me enter. I love these versions of myself, the sacrifice that’s required, the submission to laws of physics, to optical sensitivity. The act ultimately one of concession, the opportunity for light to own my body, to recreate it…</p><p>I remember once meeting a father and son who worked together in their underground studio on Morano blowing glass flowers. One would spin the metal rod with liquid glass on its end until the searing material ballooned. And then, under expert flicks of wrist, the balloon would deflate, the rim scallop, the glass blossom solidify. The finished orchids and irises filled an upstairs room with sparkling clusters. I passed through it once, looking to admire the small creations, but all I could see were ruined splinters of myself, cast out in a thousand prisms to make the garden built of crystal.</p><p>By <a href=""http://www.stephanienewman.net"" target=""_blank"">Stephanie Newman</a> ’13.</p>","2012-11-5","[311, 459, 553, 560, 126, 47, 409, 683, 681, 481, 462, 155, 730]"
"On Translating Vergil","[16, 10]","11","Erik Fredericksen ’12","{{61 alignnone}}<p style=""text-align:left;"">Taken together, the first five lines of Vergil’s <i>Eclogues</i> are the most beautiful lines of poetry in the Latin language. It seems people don’t make claims like that very often anymore and, sometimes, I think that’s a shame.</p><p style=""text-align:left;"">Why is it that translators are so often driven to attempt precisely those passages that seem so perfect in their original language, so untranslatable? Perhaps it is because translation feels most necessary when it is most impossible.</p><p style=""text-align:left;""><span id=""more-240""></span></p><p style=""text-align:left;"">I could say that I am drawn to translating these lines because they deal with the same issues facing a translator: the speaker, a herdsman named Meliboeus, is leaving his native land (and taking his song with him), while Tityrus creates an echo of his own voice, spreading his song at the risk of distortion. And it must be the image of the forest. As a translator of Walter Benjamin writes:</p><p style=""text-align:left;"">“Unlike a work of literature, translation finds itself not in the center of the language forest but on the outside facing the wooded ridge; it calls into it without entering, aiming at the single spot where the echo is able to give, in its own language, the reverberation of the work.”</p><p style=""text-align:left;"">So I send my translation to the woods, hoping that its echo picks up some Vergilian timbres along the way. It’s found some dactyls, at least.</p><p><strong>Vergil’s <em>Eclogues</em><em> (1.1-5)</em></strong></p><p>Tityrus, you lying back underneath the shade of a beech tree<br/>
spreading open, on a thin stalk of grass you try the song of the forest.<br/>
I go beyond the ends of my fatherland, leave these sweet fields<br/>
behind—I flee from my fatherland; you, Tityrus, calm in the shadow,<br/>
teach the forests to echo <i>Amaryllis is beautiful.</i></p><p><i>Tityre, tu patulae recubans sub tegmine fagi<br/>
silvestrem tenui musam meditaris avena.<br/>
Nos patriae finis et dulcia linquimus arva.<br/>
Nos patriam fugimus; tu, Tityre, lentus in umbra</i><br/>
<i>formosam resonare doces Amaryllida silvas.</i></p>","2012-11-9","[516, 413, 238, 702, 409, 269, 157, 400, 142, 85]"
"Fever: Cape Trib","[7]","2","Patrick Lauppe \’13","<p>The clouds wear the last pinks of a fallen sun. I’m reclined on a gusty, deserted beach, letting prickles of numbness build up in my arms.</p><p>It’s my last evening up on the top of Australia, and I’m a frightened child. Everything can kill you here. I heard talk of a plant that can lodge its stinger in you and cause constant pain for years. Crocodiles skulk like serpentine abominations in medieval paintings. A row of dense bush behind me seems keen to muffle screams.</p><p>It’s gorgeous, though: a perfect cove, lightly pitched so the water strays up high and forms thin, silvery pools. Plus, it’s my last night in Cape Tribulation before returning to Cairns, and, from there, Sydney. The rugged individualist within who has pushed me this high on the continent picks me up from the sand for one final wander into a mangrove grove in the last light.</p><p><span id=""more-388""></span></p><p>Mangroves are giant gnarled fists clenching the sand, and for several minutes I’m tangled in their knuckles. Then I’m through. A celestial plane of still seawater warps smoothly around my shoes. Floating driftwood reptiles laze nearby, but with a sweep of the eyes I’m consoled. This is a scene that steps me back so that I watch myself watch it. There’s something eternal about this beach; it’s embossed with the glow and fade of endless days. I am nothing but timely crud.</p><p>Suddenly, the lowness of the light has got me worried. The wind is bitter. I shiver in the tropical paradise. I gaze along the bush and realize I’ve wandered far. There is a wide parabola of beach to cover, gripped at the vertex by mangroves. And then there’s the short bush walk to the car.</p><p>I begin walking urgently, so that the thin pools splash up in protest. The water keeps me from running. It’s dark enough now that the driftwood specks wriggle with lack of definition. I wonder what a crocodile sounds like.</p><p>I reach the mangroves, now a nightmarish thicket of slippery limbs. It looks like tangled souls in a Doré print of Dante’s <i>Inferno</i>. I remember gazing at one as a kid, unable to focus on anything, to grasp anything but excess, convolution, nakedness: a mess of members. Now I am forced to traverse the living grove in the hellish half-light. I emerge muddy and mishandled. Dark has fallen, so I begin to run.</p><p>Running across sand is like running in a dream. I feel the urge to fall on all fours, lash at the sand and slither, anything to propel me forward but this horrible, tethered striving. Crocodiles have mastered sand-bound locomotion, lubricated missile of torso sliding along as deceptively powerful frog legs thrash in concert at the ground. I kick up clouds of dust and stutter forward.</p><p>The stars are out, and I realize I’ve come too far. I leer at the bush before me but see no outlet. There’s a parking lot somewhere within all this bush. My car’s there. These are the two tenets that stand between me and hysteria. They are backed by an unassailable truth: I arrived here somehow. But then where is the path?</p><p>I double back, now cursing aloud and periodically emitting a breathy whine that scares me. The bush in this direction is just as solid. Then an opening yawns before me. I squint into the black and step down a small ridge. There’s mud under my feet that I don’t remember. Something makes a small tinkling. I realize there’s a deathly still swamp at my feet, a few shades blacker than what surrounds it. I leap back across the ridge and run, convinced there’s something abysmal behind me.</p><p>Surrounding me now is the prospect of dying alone and nowhere. It takes days to be missed out here; information travels slowly, in discrete, limited jumps. I could spend the entire night searching the bush for the path as crocodiles slip soundlessly out of the water to feed. I pluck up the courage to make one last methodical pass of the bush before despairing.</p><p>The waves rush, and the trees hiss. Strange insects chide the night. I pant, squint, and wave a service-less cell phone like a madman. Eventually the shaft of a jellyfish warning sign glints in the bluish light. I’ve found the path.</p><p>As soon as I sit in the driver’s seat of the rental car, I begin the process of trivializing my fear. Obviously I’ve reached the car, so obviously there has been nothing to be afraid of. This is the attitude I assume every time I recount the story: it all worked out, no worries. For better or worse, fear is only legible from the inside out. From the outside, it’s only so much noise.</p>","2012-11-28","[542, 105, 444, 560, 165, 318]"
"Hospitable Implosions: “Collisions” meets “Motel”","[16]","11","Liza Batkin ’15","{{9}}<p>In the spring issue of <i>The Harvard Advocate</i> are two features, <a href=""http://www.theharvardadvocate.com/content/motel"" target=""_blank"">“Motel” by Georgina Parfitt</a> and <a href=""http://www.theharvardadvocate.com/content/collisions"" target=""_blank"">“Collisions” by My Ngoc Toc</a>, whose titular pairing is irresistible. What kinds of collisions spawn a motel? Destroy one? What kinds of collisions occur daily within?</p><p>Parfitt describes three days spent in and around a buttery-yellow Rest Inn Motel; Toc riffs on the event of collision, which she approaches, avoids, and actualizes in a variety of contexts. Reading the two features in tandem brought me to mind of a contemporary phenomenon and an artistic representation thereof: the implosion of old hotels to make way for new (prevalent, until recently, in Las Vegas), and Richard Artschwager’s <i>Destruction</i> series, which depicts the implosion of the Traymor Hotel. The collision in question is bipartite: the violent meeting of future and past, and the deathly embrace of dynamite and architecture.</p><p><span id=""more-970""></span></p><p style=""text-align:center;""><i>Historical Hotels</i></p><p>Under the National Trust for Historical Preservation, <i>Historical Hotels of America</i> recognizes and advertises hotels throughout the country for their commitment to preserving the past. Their members make claims to having housed the likes of Katherine Hepburn, Ralph Waldo Emerson, and combatants in the Civil War. The Beekman Arms and Delamater Inn of Rhinebeck, New York, prides itself on being the oldest hotel in America, allegedly founded in the early 1700s by William Traphagen, when the town was known by its Dutch inhabitants as “Ryn Beck.” It is rumored that George Washington, Alexander Hamilton and Benedict Arnold slept, drank, and waxed revolutionary there. A Rhinebeck native, I proudly echo the Beekman’s insistence on superlatively historical roots, and some cursory research has assured me that, while other hotels do make claims to the same (as I feared), th’ol Beekman always falls somewhere in the ranks of oldest. To preserve landmark hotels is to sustain the memories made under their roofs. Someone important, we convince ourselves, breathed this air, tread these floorboards, grazed these walls with blessed sleeves. By inhabiting their old haunts, we grow nearer to our dead icons; we share a place in common. Unlike the physical luxuries of hot tubs and plush beds, which coax us into expensive solipsism, knowledge of a hotel’s history breaks down its walls, extending present into past and realizing present as the past for a future to come.</p><p>Yet not all hotels share this drive to preserve.</p><p><i>Enter collision number one:</i> <b>Future meets past.</b></p><p><i>And collision number two</i>:<b> Dynamite meets architecture.</b></p><p>As Toc puts it: “one object travels at such feverish high speed, and is so much more massive, that it will devour the other.”</p><p style=""text-align:center;""><i>Dunes’ Doom</i></p><p>In contrast to the <i>Historical Hotels of America</i>, there exists another philosophy of success in the hospitality industry: one that erases the past and looks to the future, erodes the old and flaunts the new.</p><p>Equipped with the slogan “The Miracle in the Desert” and an Arabian Nights aesthetic, the Dunes hotel in Las Vegas thrived for forty years before its life-span was cut short by antsy profiteers. Built in 1955, the hotel saw many an acclaimed entertainer loiter in its lobby, among them Frank Sinatra, Judy Garland, and the Minsky’s Follies. By the 90s, however, its revenue had fallen as it couldn’t compete with the shinier resorts that had sprung up since its midcentury heyday. In October, 1992, it was purchased by Steve Wynn. In 1993, the Dunes hotel, Miracle in the Desert, was imploded by six hundred pounds of dynamite. Or rather, “exploded” by a pirate ship from Treasure Island Hotel and Casino, as the spectacle was staged to appear. The 1.6 billion dollar Bellagio resort sprung upward from its ashes.</p><p>In the fifteen years following the demise of the Dunes, twelve other Vegas hotels were demolished in like fashion—the cycle of implosion and construction a regenerative process perfectly suited for a city allergic to decay (might I say <a href=""http://theadvocateblog.net/2013/04/05/symposium-boredom/"" target=""_blank"">boredom</a>) and addicted to marvel. The old made room for the new. From dust to dust, or something like that.</p><p>Most implosions attracted large audiences, and that of the Landmark resort was made explicitly cinematic by its appearance in the film <i>Mars Attacks!.</i> While I would expect as much from spectacle-hungry Vegas-goers, I, personally, would find it hard to abstract the wonder of a collapsing building from events that have attached themselves to images of the same. In my opinion, the demolition of the Desert Inn’s Augusta Tower, for instance, is too reminiscent of that of the Twin Towers to engender applause. In the midst of violence and intentional destruction, I think the least we can do is preserve what we have.</p><p style=""text-align:center;""><i>A Celotex Conclusion</i></p><p>I’d like to conclude with what got me started: a tableau entitled<i> Destruction IV</i>, which was on display at Artschwager’s Whitney retrospective last summer.<i> </i>Painted with acrylic on the characteristically Artschwagerian Celotex, it depicts the demolition of Atlantic City’s Traymore Hotel in 1972, carried out despite campaigns for its preservation. Mediated first by a newspaper photograph, and then by the fibrous Celotex, the painting both distances and slows the explosion. In grainy black and white, the crumbling demands not cheers but meditation. We are forced to pause and knit together shades of grey to realize its totality.</p><p><i>Destruction IV</i> preserves the past by recording its destruction for the future to witness. It slows down our “feverish high speed” by demanding stillness and careful observation. It de-glorifies demolition by presenting it unexplained, leaving for the viewer all the associations that the explosion is apt to provoke.</p><p>The painting is rendered even more powerful by what directly followed its display: Artschwager passed away just a week after the closing of the show that commemorated his life’s work. Unbeknownst to the Whitney, it, like Artschwager, was recording a life on the precipice of death.</p><p>Parfitt’s feature goes some way in painting an alternative to destruction’s false sense of regeneration: allowing the future to stretch out before us, and the past to be revisited. As she describes, “The sun enters in ribbons. I fall back asleep. The day stretches out in front of me.” Then, as she stands at the train station, considering leaving, she muses, “Any of these places are places I could go. Instead, I turn back, away from the platform, in the direction of The Rest Inn Motel.”</p><p>Supposedly since 2007 Vegas has turned to renovation as a means of remedying stasis. Perhaps the destructive trend truly has seen its end, and we’re finally catching up to the past.</p><p> </p><p><i>Reach The Harvard Advocate’s Spring Issue <a href=""http://www.theharvardadvocate.com/category/archive/spring-2013"" target=""_blank"">here.</a></i></p>","2013-6-8","[516, 433, 439, 505, 253, 482, 518, 209, 637, 131, 316]"
"PDX","[14]","11","Matt Krane ’15","{{52 }}<p>I’m sitting in the Portland airport. Pretty empty. It’s late Sunday, and most people who had a choice chose to fly earlier in the day. Outside, the runways have gotten all nostalgic with the sunset.</p><p>There’s a delay, but I don’t know what it’s for. I keep following the pattern in the carpet: <i>X</i>s on a green base, the green lacking just enough blue to miss turquoise. I’ve been here a lot. These <i>X</i>s are stuck in me: I can’t imagine an airport without them now.</p><p>I’m trying to convince myself of something.</p><p><span id=""more-1090""></span></p><p>I said goodbye to my mother an hour ago, my sisters an hour before that. I was only here for a little while. I’m going back to work tomorrow in San Francisco. A few weeks left before school.</p><p>The <i>X</i>s are mesmerizing.</p><p>Something isn’t right. I don’t feel well.</p><p>*</p><p>Coming back into SF is smooth. I like it here at night. Even in the summer it’s fogged and cold. Two guys smoke cigarettes off the corner of the BART station at 16<sup>th</sup> and Mission, and the smell is comforting. Even late on the street, door-grates still slide open from the apartments.</p><p>Nothing feels real here, at night. Drift through it. It might be raining, it’s hard to tell.</p><p>I’m into my apartment. Lights up. My room has no decorations on the yellow walls, just a bed with rumpled sheets. This place is empty. I won’t be in it for long, like I said. Get ready for bed and turn off the lights.</p><p>Even though I didn’t expect to, I care about someone here. A boy I met at work, Sebastian. He’s more of a stereotypical programmer than I am. I asked him once about an awning on a building, and he told me he didn’t know what that word meant. “Awning.” He says he doesn’t use words to communicate like I do. He just types hard, banging on his keyboard (Dvorak, not Qwerty layout), and software comes.</p><p>Sometimes we’re the same, though. A little contrary. With a habit of not giving a fuck about things, a habit of giving too much of a fuck about other things. He quit last week. We don’t work together any more.</p><p>Sebastian is enough to make me want to stay here, in the city. The work itself isn’t good enough though. It’s fine, it’s useful, it’s instructive, but not enough.</p><p>This is the problem. I don’t want to stay, and I also don’t want to go back to Cambridge now or in two weeks or anytime soon. I have enough money saved up that I can go away for a while; have a part-time job that I can do long-distance. For some God-only-knows reason, here in the dark in my apartment trying to fall asleep I feel it in waves, the need to move. Something pushes outward.</p><p>*</p><p>“I’d miss you, but that shouldn’t stop you. You might never get to do this again.” I’m Skyping with a friend. It’s exactly the right thing for her to say. I turn away and try to make it easier.</p><p>I haven’t felt not-lonely, here or at school, only sometimes busy enough to forget. I wasn’t made for other people. But now I’m afraid to leave.</p><p>Fight off an outburst: that the only fucking reason I haven’t peaced out already is you, that you’re why I’m still in my skin after all this. That’s not right either — too emotional. Over the top.</p><p>Just nod. “I don’t know how to do this.” So choose.</p><p>*</p><p>This is terrifying. Walk by the moon through Dolores and I don’t know what I’m doing. I’m not happy, I wasn’t happy, I want to be somewhere else, somewhere old, where the age in the buildings can give me a little more steadiness, somewhere hard and different with people I don’t know, just a green place that doesn’t feel as comforting as a pill. I romanticize it.</p><p>I can see most of the city from the top of this hill, plus palm fronds in the lower part. They’re just figures in the dark. A train car rumbles when it comes by. Then quiet. No one nearby. On top of the city with it all stretched out in front, something expands. Same as in the airport with the <i>X</i>s like sunspots in my eyes. Just a feeling, starting in the core of my stomach and seeking out.</p><p>There isn’t anything keeping me. There also isn’t anything that I’ll find over there.</p><p>Only the empty place, a box with green-near-turquoise carpet on the bottom, hollow and fragile, where I can walk for a few hours. Stare down, make something and then forget. Count the <i>X</i>s. Become silhouetted. Darken, turn away, leave it undone and abstract. Start again.</p><p>So choose.</p>","2013-8-19","[311, 596, 25, 409, 453, 309, 243, 102]"
"Horizonless Landscapes of Yellowstone","[19, 22]","11","Isaac Dayno \’15","{{142 }}{{2 size-full}}<p> </p><p><em>Photographs by Isaac Dayno ’15</em></p>","2013-9-13","[603, 271, 332, 306, 12, 695, 119, 415, 254]"
